29/05/2014 02:35:43 (Std) 	Created WindowFactory for 'CEGUI/PopupMenu' windows.
29/05/2014 02:35:43 (Std) 	WindowFactory for 'CEGUI/PopupMenu' windows added. (0xba17830)
29/05/2014 02:35:43 (Std) 	Created WindowFactory for 'CEGUI/MenuItem' windows.
29/05/2014 02:35:43 (Std) 	WindowFactory for 'CEGUI/MenuItem' windows added. (0xba17980)
29/05/2014 02:35:43 (Std) 	Created WindowFactory for 'CEGUI/MultiColumnList' windows.
29/05/2014 02:35:43 (Std) 	WindowFactory for 'CEGUI/MultiColumnList' windows added. (0xba17ad0)
29/05/2014 02:35:43 (Std) 	Created WindowFactory for 'CEGUI/MultiLineEditbox' windows.
29/05/2014 02:35:43 (Std) 	WindowFactory for 'CEGUI/MultiLineEditbox' windows added. (0xba17c20)
29/05/2014 02:35:43 (Std) 	Created WindowFactory for 'CEGUI/ProgressBar' windows.
29/05/2014 02:35:43 (Std) 	WindowFactory for 'CEGUI/ProgressBar' windows added. (0xba17d70)
29/05/2014 02:35:43 (Std) 	Created WindowFactory for 'CEGUI/ScrollablePane' windows.
29/05/2014 02:35:43 (Std) 	WindowFactory for 'CEGUI/ScrollablePane' windows added. (0xba17ec0)
29/05/2014 02:35:43 (Std) 	Created WindowFactory for 'CEGUI/Scrollbar' windows.
29/05/2014 02:35:43 (Std) 	WindowFactory for 'CEGUI/Scrollbar' windows added. (0xba18010)
29/05/2014 02:35:43 (Std) 	Created WindowFactory for 'CEGUI/Slider' windows.
29/05/2014 02:35:43 (Std) 	WindowFactory for 'CEGUI/Slider' windows added. (0xba18160)
29/05/2014 02:35:43 (Std) 	Created WindowFactory for 'CEGUI/Spinner' windows.
29/05/2014 02:35:43 (Std) 	WindowFactory for 'CEGUI/Spinner' windows added. (0xba182b0)
29/05/2014 02:35:43 (Std) 	Created WindowFactory for 'CEGUI/TabButton' windows.
29/05/2014 02:35:43 (Std) 	WindowFactory for 'CEGUI/TabButton' windows added. (0xba18400)
29/05/2014 02:35:43 (Std) 	Created WindowFactory for 'CEGUI/TabControl' windows.
29/05/2014 02:35:43 (Std) 	WindowFactory for 'CEGUI/TabControl' windows added. (0xba18550)
29/05/2014 02:35:43 (Std) 	Created WindowFactory for 'CEGUI/Thumb' windows.
29/05/2014 02:35:43 (Std) 	WindowFactory for 'CEGUI/Thumb' windows added. (0xba186a0)
